AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,TARGET,GROUP,YEAR
19.0,1.0,18.0,5.0,4720.0,17.0,38.0,40.0,1.0,1.0,2620.983872753441,1,2021
19.0,5.0,18.0,5.0,1551.0,13.0,38.0,40.0,1.0,1.0,23588.85485478097,1,2021
22.0,2.0,19.0,5.0,3870.0,6.0,38.0,16.0,1.0,9.0,2795.7161309370035,9,2021
18.0,1.0,18.0,5.0,4055.0,24.0,38.0,12.0,2.0,1.0,5940.896778241133,1,2021
33.0,2.0,22.0,5.0,102.0,17.0,38.0,52.0,2.0,1.0,17473.225818356274,1,2021
19.0,1.0,16.0,5.0,2350.0,17.0,38.0,12.0,1.0,8.0,1048.3935491013763,8,2021
18.0,6.0,16.0,5.0,2722.0,6.0,38.0,7.0,2.0,1.0,576.616452005757,1,2021
53.0,1.0,19.0,3.0,9620.0,17.0,38.0,60.0,1.0,1.0,8736.612909178137,1,2021
49.0,1.0,19.0,5.0,5350.0,15.0,38.0,50.0,1.0,1.0,1747.3225818356273,1,2021
22.0,1.0,19.0,5.0,4640.0,17.0,38.0,10.0,1.0,2.0,5241.967745506882,2,2021
41.0,2.0,21.0,4.0,4655.0,13.0,38.0,40.0,2.0,2.0,29704.483891205662,2,2021
18.0,1.0,18.0,5.0,4150.0,17.0,38.0,20.0,2.0,1.0,6989.290327342509,1,2021
20.0,1.0,19.0,5.0,4850.0,17.0,38.0,40.0,2.0,1.0,8736.612909178137,1,2021
18.0,4.0,18.0,5.0,4640.0,17.0,38.0,30.0,2.0,3.0,20967.87098202753,3,2021
41.0,1.0,16.0,5.0,9620.0,17.0,37.0,40.0,1.0,1.0,7862.951618260323,1,2021
23.0,2.0,19.0,5.0,2920.0,17.0,38.0,4.0,1.0,1.0,891.1345167361699,1,2021
21.0,1.0,16.0,5.0,4622.0,17.0,38.0,99.0,1.0,1.0,2096.7870982027525,1,2021
20.0,2.0,19.0,5.0,2545.0,17.0,38.0,16.0,2.0,1.0,5416.700003690445,1,2021
22.0,1.0,19.0,5.0,6355.0,17.0,38.0,75.0,1.0,1.0,698.9290327342509,1,2021
19.0,1.0,18.0,5.0,4055.0,17.0,38.0,20.0,2.0,2.0,8125.050005535667,2,2021
65.0,2.0,24.0,5.0,2040.0,17.0,38.0,60.0,1.0,1.0,34072.79034579473,1,2021
62.0,1.0,17.0,5.0,8990.0,17.0,38.0,30.0,2.0,1.0,33373.86131306048,1,2021
22.0,1.0,19.0,5.0,6355.0,17.0,38.0,75.0,1.0,1.0,698.9290327342509,1,2021
19.0,5.0,16.0,5.0,3930.0,6.0,38.0,40.0,1.0,1.0,24462.51614569878,1,2021
18.0,1.0,18.0,5.0,1050.0,17.0,38.0,8.0,2.0,1.0,751.3487101893197,1,2021
