AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,TARGET,GROUP,YEAR
18.0,4.0,18.0,5.0,5940.0,17.0,38.0,14.0,2.0,1.0,600.0,1,2022
42.0,1.0,14.0,3.0,6260.0,17.0,37.0,30.0,1.0,1.0,24000.0,1,2022
23.0,1.0,19.0,5.0,5260.0,17.0,38.0,16.0,2.0,2.0,7100.0,2,2022
21.0,4.0,19.0,5.0,2002.0,17.0,38.0,10.0,2.0,1.0,8700.0,1,2022
57.0,2.0,16.0,5.0,3930.0,17.0,38.0,40.0,1.0,1.0,35700.0,1,2022
20.0,1.0,19.0,5.0,8255.0,17.0,38.0,25.0,2.0,1.0,3000.0,1,2022
21.0,2.0,18.0,5.0,4800.0,26.0,38.0,57.0,2.0,9.0,10000.0,9,2022
23.0,2.0,19.0,5.0,2752.0,17.0,38.0,52.0,1.0,9.0,10000.0,9,2022
19.0,1.0,19.0,5.0,4720.0,17.0,38.0,15.0,2.0,1.0,4800.0,1,2022
21.0,1.0,19.0,5.0,4720.0,17.0,38.0,20.0,2.0,1.0,10500.0,1,2022
19.0,1.0,19.0,5.0,4950.0,29.0,38.0,6.0,2.0,1.0,1000.0,1,2022
48.0,1.0,17.0,3.0,4220.0,18.0,37.0,45.0,2.0,1.0,30000.0,1,2022
44.0,2.0,17.0,5.0,2016.0,17.0,38.0,24.0,1.0,1.0,15500.0,1,2022
25.0,1.0,16.0,5.0,4220.0,46.0,37.0,45.0,2.0,5.0,30000.0,5,2022
61.0,1.0,11.0,5.0,4965.0,26.0,38.0,20.0,1.0,2.0,16000.0,2,2022
39.0,1.0,16.0,5.0,1010.0,17.0,38.0,10.0,1.0,1.0,9000.0,1,2022
31.0,2.0,22.0,5.0,2050.0,17.0,38.0,15.0,1.0,1.0,10000.0,1,2022
22.0,8.0,19.0,5.0,9620.0,17.0,38.0,20.0,1.0,1.0,380.0,1,2022
22.0,4.0,16.0,5.0,440.0,49.0,38.0,26.0,2.0,9.0,7120.0,9,2022
19.0,6.0,19.0,5.0,4700.0,17.0,38.0,20.0,1.0,1.0,10000.0,1,2022
20.0,1.0,16.0,5.0,4130.0,17.0,38.0,8.0,1.0,2.0,6800.0,2,2022
21.0,2.0,19.0,5.0,2050.0,48.0,38.0,15.0,2.0,1.0,2000.0,1,2022
37.0,4.0,16.0,5.0,4220.0,17.0,37.0,50.0,1.0,1.0,16000.0,1,2022
